CosMx™ Human Universal Cell Characterization Panel  - Gene and Probe Details,,,,,,
Display Name,Gene Symbol(s),Gene Name(s),Alias(es),Panel Type,,CodeClass
EIF5A/L1,EIF5A | EIF5AL1,eukaryotic translation initiation factor 5A | eukaryotic translation initiation factor 5A like 1,"EIF5A1,EIF-5A,MGC99547,MGC104255 | bA342M3.3; eukaryotic translation initiation factor 5A pseudogene 1",Core,,
ELANE,ELANE,"elastase, neutrophil expressed","NE,HNE,HLE,PMN-E; elastase 2, neutrophil; neutrophil elastase,leukocyte elastase,medullasin,PMN Elastase,polymorphonuclear leukocyte elastase",Core,,
EMP3,EMP3,epithelial membrane protein 3,YMP,Core,,
ENG,ENG,endoglin,"Osler-Rendu-Weber syndrome 1; END,HHT1,CD105",Core,,
ENO1,ENO1,enolase 1,"enolase 1, (alpha); alpha-enolase; PPH,MBP-1",Core,,
ENTPD1,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,"NTPDase-1,ATPDase,SPG64",Core,,
EOMES,EOMES,eomesodermin,eomesodermin (Xenopus laevis) homolog; T-box brain2; TBR2,Core,,
EPCAM,EPCAM,epithelial cell adhesion molecule,"Ly74,TROP1,GA733-2,EGP34,EGP40,EGP-2,KSA,CD326,Ep-CAM,HEA125,KS1/4,MK-1,MH99,MOC31,MOC-31,323/A3,17-1A,TACST-1,CO-17A,ESA,BerEp4,Ber-Ep4; trophoblast cell surface antigen 1; antigen identified by monoclonal antibody AUA1,tumor-associated calcium signal transducer 1",Core,,
EPHA2,EPHA2,EPH receptor A2,EphA2,Core,,
EPHA3,EPHA3,EPH receptor A3,"HEK,HEK4; EphA3",Core,,
EPHA4,EPHA4,EPH receptor A4,EphA4; Hek8,Core,,
EPHA7,EPHA7,EPH receptor A7,EphA7; Hek11,Core,,
EPHB2,EPHB2,EPH receptor B2,"EphB2; Hek5,Tyro5",Core,,
EPHB3,EPHB3,EPH receptor B3,"Hek2,Tyro6; EphB3",Core,,
EPHB4,EPHB4,EPH receptor B4,Tyro11; EphB4,Core,,
EPHB6,EPHB6,EPH receptor B6,EphB6; HEP,Core,,
EPOR,EPOR,erythropoietin receptor,,Core,,
ERBB2,ERBB2,erb-b2 receptor tyrosine kinase 2,"neuro/glioblastoma derived oncogene homolog,human epidermal growth factor receptor 2; v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog),v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2; NEU,HER-2,CD340,HER2,c-ERB2,c-ERB-2",Core,,
ERBB3,ERBB3,erb-b2 receptor tyrosine kinase 3,"HER3; human epidermal growth factor receptor 3; lethal congenital contracture syndrome 2,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3",Core,,
ESAM,ESAM,endothelial cell adhesion molecule,W117m,Core,,
ESR1,ESR1,estrogen receptor 1,"nuclear receptor subfamily 3 group A member 1,estrogen receptor alpha,oestrogen receptor alpha,E2 receptor alpha; NR3A1,Era,ER-alpha",Core,,
ETS1,ETS1,"ETS proto-oncogene 1, transcription factor","FLJ10768,ETS-1; v-ets avian erythroblastosis virus E26 oncogene homolog 1; Avian erythroblastosis virus E26 (v-ets) oncogene homolog-1,ets protein",Core,,
ETV4,ETV4,ETS variant transcription factor 4,"E1A enhancer binding protein; E1A-F,E1AF,PEA3; ets variant gene 4 (E1A enhancer-binding protein, E1AF),ETS variant 4",Core,,
ETV5,ETV5,ETS variant transcription factor 5,"ERM; ets variant gene 5 (ets-related molecule),ETS variant 5; ets-related molecule",Core,,
EZH2,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,"EZH1,ENX-1,KMT6,KMT6A; enhancer of zeste (Drosophila) homolog 2,enhancer of zeste homolog 2 (Drosophila)",Core,,
EZR,EZR,ezrin,cytovillin 2; villin 2 (ezrin),Core,,
FABP4,FABP4,fatty acid binding protein 4,"adipocyte fatty acid binding protein; A-FABP,aP2",Core,,
FABP5,FABP5 | FABP5P3,fatty acid binding protein 5 | fatty acid binding protein 5 pseudogene 3,"fatty acid binding protein 5 (psoriasis-associated); E-FABP,PA-FABP,KFABP | fatty acid binding protein 5-like 3,fatty acid binding protein 5-like 3 (pseudogene); TCAG_1781704",Core,,
FAM30A,FAM30A,family with sequence similarity 30 member A,"HSPC053; chromosome 14 open reading frame 110,KIAA0125",Core,,
FAP,FAP,fibroblast activation protein alpha,"seprase; DPPIV; fibroblast activation protein, alpha",Add-On,,
FAS,FAS,Fas cell surface death receptor,"TNF receptor superfamily member 6; tumor necrosis factor receptor superfamily, member 6,Fas (TNF receptor superfamily, member 6); CD95,APO-1",Core,,
FASLG,FASLG,Fas ligand,"FasL,CD178; tumor necrosis factor (ligand) superfamily, member 6,Fas ligand (TNF superfamily, member 6)",Core,,
FASN,FASN,fatty acid synthase,"short chain dehydrogenase/reductase family 27X, member 1,[Acyl-carrier-protein] S-acetyltransferase,[Acyl-carrier-protein] S-malonyltransferase,3-oxoacyl-[acyl-carrier-protein] synthase,3-oxoacyl-[acyl-carrier-protein] reductase,3-hydroxyacyl-[acyl-carrier-protein] dehydratase,Enoyl-[acyl-carrier-protein] reductase,Acyl-[acyl-carrier-protein] hydrolase; FAS,SDR27X1",Core,,
FAU,FAU,FAU ubiquitin like and ribosomal protein S30 fusion,"Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived),Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed,FAU, ubiquitin like and ribosomal protein S30 fusion; RPS30,FLJ22986,Fub1,Fubi,MNSFbeta,asr1,S30; ribosomal protein S30,Monoclonal nonspecific suppressor factor beta",Core,,
FCER1G,FCER1G,Fc epsilon receptor Ig,"FcepsilonRI gamma chain; FcepsilonRIgamma; Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide,Fc fragment of IgE receptor Ig",Core,,
FCGBP,FCGBP,Fc gamma binding protein,"FC(GAMMA)BP,FcgammaBP; IgG Fc binding protein,Human Fc gamma BP; Fc fragment of IgG binding protein",Core,,
FCGR3A/B,FCGR3A | FCGR3B | LOC124905743,Fc gamma receptor IIIa | Fc gamma receptor IIIb | ,"Fc fragment of IgG, low affinity IIIa, receptor for (CD16),Fc fragment of IgG, low affinity IIIa, receptor (CD16a),Fc fragment of IgG receptor IIIa; CD16,CD16a,FcgammaRIIIa,FcGRIIIA | CD16,CD16b,FcgammaRIIIb,FcRIIIb; Fc fragment of IgG, low affinity IIIb, receptor for (CD16),Fc fragment of IgG, low affinity IIIb, receptor (CD16b),Fc fragment of IgG receptor IIIb | ",Core,,
FCRLA,FCRLA,Fc receptor like A,"MGC4595,FCRLc2,FCRLb,FCRLc1,FCRLd,FCRLe,FCRL,FREB,FCRLX; Fc receptor-like and mucin-like 1,Fc receptor-like A",Core,,
FES,FES,"FES proto-oncogene, tyrosine kinase","Oncogene FES, feline sarcoma virus,c-fes/fps protein; FPS; feline sarcoma (Snyder-Theilen) viral (v-fes)/Fujinami avian sarcoma (PRCII) viral (v-fps) oncogene homolog,feline sarcoma oncogene",Core,,
FFAR2,FFAR2,free fatty acid receptor 2,FFA2R; G protein-coupled receptor 43,Core,,
FFAR3,FFAR3 | GPR42,free fatty acid receptor 3 | G protein-coupled receptor 42,"G protein-coupled receptor 41; FFA3R | G protein-coupled receptor 42 pseudogene,G protein-coupled receptor 42 (gene/pseudogene); GPR41L,FFAR3L",Core,,
FFAR4,FFAR4,free fatty acid receptor 4,"G protein-coupled receptor 129,G protein-coupled receptor 120,omega-3 fatty acid receptor 1; PGR4",Core,,
FGF1,FGF1,fibroblast growth factor 1,"heparin-binding growth factor 1,endothelial cell growth factor, alpha,endothelial cell growth factor, beta; AFGF,ECGF,ECGFA,ECGFB,HBGF1,ECGF-beta,FGF-alpha,GLIO703; fibroblast growth factor 1 (acidic)",Core,,
FGF12,FGF12,fibroblast growth factor 12,"fibroblast growth factor 12B,fibroblast growth factor homologous factor 1,myocyte-activating factor,fibroblast growth factor FGF-12b; FHF1",Core,,
FGF13,FGF13,fibroblast growth factor 13,"long intergenic non-protein coding RNA 889; fibroblast growth factor homologous factor 2; FHF2,FGF2,FLJ30672",Core,,
FGF18,FGF18,fibroblast growth factor 18,"FGF-18,ZFGF5",Core,,
FGF2,FGF2,fibroblast growth factor 2,fibroblast growth factor 2 (basic),Core,,
FGF7,FGF7,fibroblast growth factor 7,keratinocyte growth factor; KGF; fibroblast growth factor 7 (keratinocyte growth factor),Core,,
FGF9,FGF9,fibroblast growth factor 9,glia-activating factor; fibroblast growth factor 9 (glia-activating factor),Core,,
FGFR1,FGFR1,fibroblast growth factor receptor 1,"H2,H3,H4,H5,CEK,FLG,BFGFR,N-SAM,CD331; Pfeiffer syndrome; fms-related tyrosine kinase 2",Core,,
FGFR2,FGFR2,fibroblast growth factor receptor 2,"Crouzon syndrome,Pfeiffer syndrome; CEK3,TK14,TK25,ECT1,K-SAM,CD332; bacteria-expressed kinase,keratinocyte growth factor receptor,craniofacial dysostosis 1,Jackson-Weiss syndrome",Core,,
FGFR3,FGFR3,fibroblast growth factor receptor 3,"CEK2,JTK4,CD333; achondroplasia, thanatophoric dwarfism",Core,,
FGG,FGG,fibrinogen gamma chain,"fibrinogen, gamma polypeptide",Core,,
FGR,FGR,"FGR proto-oncogene, Src family tyrosine kinase","c-fgr,p55c-fgr; Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog,v-fgr feline Gardner-Rasheed sarcoma viral oncogene homolog,feline Gardner-Rasheed sarcoma viral oncogene homolog",Core,,
FHIT,FHIT,fragile histidine triad diadenosine triphosphatase,"fragile histidine triad gene,fragile histidine triad; bis(5'-adenosyl)-triphosphatase; FRA3B,AP3Aase",Core,,
FKBP11,FKBP11,FKBP prolyl isomerase 11,"FK506 binding protein 11 (19 kDa),FK506 binding protein 11, 19 kDa,FK506 binding protein 11; FKBP19",Core,,
FKBP5,FKBP5,FKBP prolyl isomerase 5,"FK506-binding protein 5,FK506 binding protein 5; FKBP51,FKBP54,PPIase,P54,Ptg-10",Core,,
FLT1,FLT1,fms related receptor tyrosine kinase 1,"VEGFR1; vascular endothelial growth factor receptor 1,vascular permeability factor receptor; fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor),fms-related tyrosine kinase 1,fms related tyrosine kinase 1",Core,,
FLT3LG,FLT3LG,fms related receptor tyrosine kinase 3 ligand,"fms-related tyrosine kinase 3 ligand,fms related tyrosine kinase 3 ligand",Core,,
FN1,FN1,fibronectin 1,"migration-stimulating factor,cold-insoluble globulin; MSF,CIG,LETS,GFND2,FINC",Core,,
FOS,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit","c-fos,AP-1; v-fos FBJ murine osteosarcoma viral oncogene homolog,FBJ murine osteosarcoma viral oncogene homolog",Core,,
FOXF1,FOXF1,forkhead box F1,FREAC1,Core,,
FOXP3,FOXP3,forkhead box P3,"immune dysregulation, polyendocrinopathy, enteropathy, X-linked; JM2,XPID,AIID,PIDX,DIETER,SCURFIN",Core,,
FPR1,FPR1,formyl peptide receptor 1,"FPR,FMLP",Core,,
FYB1,FYB1,FYN binding protein 1,"FYN-binding protein (FYB-120/130),FYN binding protein; SLAP-130,FYB-120/130,ADAP; adhesion and degranulation promoting adaptor protein",Core,,
FYN,FYN,"FYN proto-oncogene, Src family tyrosine kinase","SYN,SLK,MGC45350; FYN oncogene related to SRC, FGR, YES",Core,,
FZD1,FZD1,frizzled class receptor 1,"DKFZp564G072; frizzled (Drosophila) homolog 1,frizzled homolog 1 (Drosophila),frizzled 1, seven transmembrane spanning receptor,frizzled family receptor 1; Wnt receptor,frizzled, Drosophila, homolog of, 1",Core,,
FZD3,FZD3,frizzled class receptor 3,"frizzled (Drosophila) homolog 3,frizzled homolog 3 (Drosophila),frizzled 3, seven transmembrane spanning receptor,frizzled family receptor 3",Core,,
FZD4,FZD4,frizzled class receptor 4,"CD344; frizzled (Drosophila) homolog 4,exudative vitreoretinopathy 1,frizzled homolog 4 (Drosophila),frizzled 4, seven transmembrane spanning receptor,frizzled family receptor 4",Core,,
FZD5,FZD5,frizzled class receptor 5,"frizzled (Drosophila) homolog 5,chromosome 2 open reading frame 31,frizzled homolog 5 (Drosophila),frizzled 5, seven transmembrane spanning receptor,frizzled family receptor 5; HFZ5,DKFZP434E2135",Core,,
FZD6,FZD6,frizzled class receptor 6,"Hfz6; frizzled (Drosophila) homolog 6,frizzled homolog 6 (Drosophila),frizzled 6, seven transmembrane spanning receptor,frizzled family receptor 6",Core,,
FZD7,FZD7,frizzled class receptor 7,"frizzled (Drosophila) homolog 7,frizzled homolog 7 (Drosophila),frizzled 7, seven transmembrane spanning receptor,frizzled family receptor 7; FzE3",Core,,
FZD8,FZD8,frizzled class receptor 8,"frizzled (Drosophila) homolog 8,frizzled homolog 8 (Drosophila),frizzled 8, seven transmembrane spanning receptor,frizzled family receptor 8",Core,,
G0S2,G0S2,G0/G1 switch 2,G0/G1switch 2; putative lymphocyte G0/G1 switch gene,Add-On,,
G6PD,G6PD,glucose-6-phosphate dehydrogenase,G6PD1,Core,,
GADD45B,GADD45B,growth arrest and DNA damage inducible beta,"GADD45BETA,DKFZP566B133; growth arrest and DNA-damage-inducible, beta; myeloid differentiation primary response,growth arrest and DNA-damage-inducible beta",Core,,
GAS6,GAS6,growth arrest specific 6,"AXL receptor tyrosine kinase ligand; AXL stimulatory factor; AXSF,FLJ34709,DKFZp666G247",Core,,
GATA3,GATA3,GATA binding protein 3,HDR; GATA-binding protein 3,Core,,
GC,GC,GC vitamin D binding protein,"group-specific component (vitamin D binding protein),GC, vitamin D binding protein; DBP,VDBP,hDBP",Core,,
GCG,GCG,glucagon,"glicentin-related polypeptide,glucagon-like peptide 1,glucagon-like peptide 2,preproglucagon; GLP1,GLP2,GRPP,GLP-1",Core,,
GDF15,GDF15,growth differentiation factor 15,"PLAB,MIC-1,PDF,MIC1,NAG-1,PTGFB; prostate differentiation factor,non-steroidal anti-inflammatory drug-activated gene-1,macrophage inhibitory cytokine-1",Core,,
GLUD1,GLUD1 | GLUD2,glutamate dehydrogenase 1 | glutamate dehydrogenase 2,"GDH,GDH1,hGDH1 | glutamate dehydrogenase pseudogene 1",Core,,
GLUL,GLUL,glutamate-ammonia ligase,glutamine synthetase; glutamate-ammonia ligase (glutamine synthase),Core,,
GNLY,GNLY,granulysin,"NKG5,LAG-2,D2S69E,TLA519; T-lymphocyte activation gene 519",Core,,
GPBAR1,GPBAR1,G protein-coupled bile acid receptor 1,"BG37,GPCR,TGR5,M-BAR,GPCR19,GPR131,MGC40597",Core,,
GPER1,GPER1,G protein-coupled estrogen receptor 1,"G protein-coupled receptor 30; FEG-1,GPCR-Br,LERGU,LERGU2,DRY12,LyGPR,CEPR",Core,,
GPNMB,GPNMB,glycoprotein nmb,"glycoprotein (transmembrane) nmb; transmembrane glycoprotein,glycoprotein NMB,glycoprotein nmb-like protein,osteoactivin,hematopoietic growth factor inducible neurokinin-1,glycoprotein nonmetastatic melanoma protein B; NMB,HGFIN",Core,,
GPR183,GPR183,G protein-coupled receptor 183,EBV-induced G-protein coupled receptor 2; Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor),Core,,
GPX1,GPX1,glutathione peroxidase 1,selenoprotein GPX1,Core,,
GPX3,GPX3,glutathione peroxidase 3,selenoprotein GPX3; glutathione peroxidase 3 (plasma),Core,,
GSK3B,GSK3B,glycogen synthase kinase 3 beta,,Add-On,,
GSN,GSN,gelsolin,"DKFZp313L0718; amyloidosis, Finnish type; gelsolin (amyloidosis, Finnish type)",Core,,
GSTP1,GSTP1,glutathione S-transferase pi 1,GSTP,Core,,
GZMA,GZMA,granzyme A,"CTL tryptase,Cytotoxic T-lymphocyte-associated serine esterase-3,Hanukah factor serine protease),granzyme 1; granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)",Core,,
GZMB,GZMB,granzyme B,"fragmentin 2,cytotoxic serine protease B,cathepsin G-like 1,T-cell serine protease 1-3E,granzyme 2,cytotoxic T-lymphocyte-associated serine esterase 1; CCPI,CGL-1,CSP-B,CGL1,CTSGL1,HLP,SECT; granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)",Core,,
GZMH,GZMH,granzyme H,"CGL-2,CCP-X,CTLA1,CSP-C; cathepsin G-like 2, protein h-CCPX; granzyme H (cathepsin G-like 2, protein h-CCPX)",Core,,
GZMK,GZMK,granzyme K,"granzyme K (serine protease, granzyme 3; tryptase II),granzyme K (granzyme 3; tryptase II); tryptase II; TRYP2,PRSS",Core,,
H2AZ1,H2AZ1,H2A.Z variant histone 1,"H2A histone family, member Z,H2A histone family member Z; H2A.Z",Core,,
H4C3,H4C3,H4 clustered histone 3,"H4/g,dJ221C16.1; H4 histone family, member G,histone 1, H4c,histone cluster 1, H4c,histone cluster 1 H4 family member c",Core,,
HAVCR2,HAVCR2,hepatitis A virus cellular receptor 2,"T-cell immunoglobulin mucin family member 3; Tim-3,TIM3,FLJ14428,TIMD3,CD366",Core,,
HBA1/2,HBA1 | HBA2,hemoglobin subunit alpha 1 | hemoglobin subunit alpha 2,"hemoglobin, alpha 1; HBA-T3 | hemoglobin, alpha 2; HBA-T2",Core,,
HBB,HBB,hemoglobin subunit beta,"hemoglobin, beta; CD113t-C,beta-globin",Core,,
HCAR2/3,HCAR2 | HCAR3,hydroxycarboxylic acid receptor 2 | hydroxycarboxylic acid receptor 3,"niacin receptor 1; HCA2,HM74A,PUMAG,Puma-g,NIACR1; G protein-coupled receptor 109A | HCA3,HM74; G protein-coupled receptor 109B",Core,,
HCK,HCK,"HCK proto-oncogene, Src family tyrosine kinase",JTK9; hemopoietic cell kinase,Core,,
HCST,HCST,hematopoietic cell signal transducer,"DAP10,DKFZP586C1522,KAP10; DNAX-activation protein 10,kinase assoc pro of ~10kDa; phosphoinositide-3-kinase adaptor protein",Core,,
HDAC1,HDAC1,histone deacetylase 1,"HD1,GON-10,KDAC1",Core,,
HDAC11,HDAC11,histone deacetylase 11,,Core,,
HDAC3,HDAC3,histone deacetylase 3,"RPD3,HD3,RPD3-2,KDAC3",Core,,
HDAC4,HDAC4,histone deacetylase 4,"brachydactyly-mental retardation syndrome; KIAA0288,HDAC-A,HDACA,HD4,HA6116,HDAC-4",Core,,
HDAC5,HDAC5,histone deacetylase 5,"KIAA0600,NY-CO-9,FLJ90614",Core,,
HEXB,HEXB,hexosaminidase subunit beta,hexosaminidase B (beta polypeptide); beta-hexosaminidase subunit beta,Add-On,,
HEY1,HEY1,hes related family bHLH transcription factor with YRPW motif 1,"HESR-1,CHF2,HESR1,HRT-1,CHF-2,HERP2,bHLHb31; hairy/enhancer-of-split related with YRPW motif 1,hes-related family bHLH transcription factor with YRPW motif 1",Core,,
HGF,HGF,hepatocyte growth factor,"deafness, autosomal recessive 39,hepatocyte growth factor (hepapoietin A; scatter factor); hepatopoietin A,fibroblast-derived tumor cytotoxic factor,scatter factor,lung fibroblast-derived mitogen; SF,F-TCF,HGFB,HPTA",Core,,
HIF1A,HIF1A,hypoxia inducible factor 1 subunit alpha,"PAS domain-containing protein 8,Class E basic helix-loop-helix protein 78,Member of PAS protein 1; MOP1,HIF-1alpha,PASD8,HIF1,bHLHe78; hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",Core,,
HILPDA,HILPDA,hypoxia inducible lipid droplet associated,"FLJ21076,HIG-2,HIG2; hypoxia inducible gene 2; chromosome 7 open reading frame 68,hypoxia inducible lipid droplet-associated",Core,,
HLA-DPA1,HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1",,Core,,
HLA-DPB1,HLA-DPB1,"major histocompatibility complex, class II, DP beta 1",,Core,,
HLA-DQA1,HLA-DQA1 | HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 1 | major histocompatibility complex, class II, DQ alpha 2",CELIAC1 | ,Core,,
HLA-DQB1/2,HLA-DQB1 | HLA-DQB2,"major histocompatibility complex, class II, DQ beta 1 | major histocompatibility complex, class II, DQ beta 2","IDDM1,CELIAC1 | ",Core,,
HLA-DRA,HLA-DRA,"major histocompatibility complex, class II, DR alpha",,Core,,
HLA-DRB,HLA-DRB1 | HLA-DRB3 | HLA-DRB4 | HLA-DRB5 | HLA-DRB6,"major histocompatibility complex, class II, DR beta 1 | major histocompatibility complex, class II, DR beta 3 | major histocompatibility complex, class II, DR beta 4 | major histocompatibility complex, class II, DR beta 5 | major histocompatibility complex, class II, DR beta 6 (pseudogene)", |  |  |  | ,Core,,
HMGB2,HMGB2,high mobility group box 2,"high-mobility group (nonhistone chromosomal) protein 2,high-mobility group box 2",Core,,
HMGCS1,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1,"3-hydroxy-3-methylglutaryl coenzyme A (HMG-CoA) synthase; 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble),3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble)",Add-On,,
HMGN2,HMGN2 | HMGN2P46 | LOC107986383 | TRMT5,high mobility group nucleosomal binding domain 2 | high mobility group nucleosomal binding domain 2 pseudogene 46 |  | tRNA methyltransferase 5,"high-mobility group (nonhistone chromosomal) protein 17,high-mobility group nucleosomal binding domain 2 | chromosome 15 open reading frame 21,high-mobility group nucleosomal binding domain 2 pseudogene 46; FLJ39426,D-PCa-2 |  | TRM5; KIAA1393,tRNA methyltransferase 5 homolog (S. cerevisiae); tRNA (guanine(37)-N1)-methyltransferase",Core,,
HPGDS,HPGDS,hematopoietic prostaglandin D synthase,"glutathione S-transferase sigma; GSTS,PGDS,H-PGDS,PGD2,GSTS1-1,GSTS1",Core,,
HSD17B2,HSD17B2,hydroxysteroid 17-beta dehydrogenase 2,"HSD17,SDR9C2; short chain dehydrogenase/reductase family 9C, member 2; hydroxysteroid (17-beta) dehydrogenase 2",Core,,
HSP90AA1,HSP90AA1,heat shock protein 90 alpha family class A member 1,"heat shock 90kD protein 1, alpha,heat shock 90kDa protein 1, alpha,heat shock protein 90kDa alpha (cytosolic), class A member 1; Hsp89,Hsp90,FLJ31884,HSP90N",Core,,
HSP90AB1,HSP90AB1,heat shock protein 90 alpha family class B member 1,"heat shock 90kD protein 1, beta,heat shock 90kDa protein 1, beta,heat shock protein 90kDa alpha (cytosolic), class B member 1",Core,,
HSP90B1,HSP90B1 | HSP90B2P,"heat shock protein 90 beta family member 1 | heat shock protein 90 beta family member 2, pseudogene","endoplasmin; GP96,GRP94; tumor rejection antigen (gp96) 1,heat shock protein 90kDa beta (Grp94), member 1 | tumor rejection antigen (gp96) pseudogene 1,tumor rejection antigen (gp96) 1 pseudogene 1,heat shock protein 90kDa beta (Grp94), member 2, pseudogene; GRP94P1,GRP94b",Core,,
HSPA1A/B,HSPA1A | HSPA1B,heat shock protein family A (Hsp70) member 1A | heat shock protein family A (Hsp70) member 1B,"HSP70-1; heat shock 70kD protein 1A,heat shock 70kDa protein 1A | heat shock 70kD protein 1B,heat shock 70kDa protein 1B; HSP70-2",Core,,
HSPB1,HSPB1,heat shock protein family B (small) member 1,"heat shock 27kD protein 1,heat shock 27kDa protein 1; HSP27,HSP28,Hs.76067,Hsp25,CMT2F",Core,,
HSPG2,HSPG2,heparan sulfate proteoglycan 2,"perlecan,PRCAN; perlecan proteoglycan,endorepellin; Schwartz-Jampel syndrome 1 (chondrodystrophic myotonia)",Add-On,,
HTT,HTT,huntingtin,huntingtin (Huntington disease); IT15,Core,,
IAPP,IAPP,islet amyloid polypeptide,"AMYLIN,DAP,IAP; amylin",Core,,
ICA1,ICA1,islet cell autoantigen 1,"islet cell autoantigen 1 (69kD),islet cell autoantigen 1, 69kDa; ICAp69,ICA69",Core,,
ICAM1,ICAM1,intercellular adhesion molecule 1,"human rhinovirus receptor; BB2,CD54",Core,,
ICAM2,ICAM2,intercellular adhesion molecule 2,CD102,Core,,
ICAM3,ICAM3,intercellular adhesion molecule 3,"CDW50,ICAM-R,CD50",Core,,
ICOS,ICOS,inducible T cell costimulator,"inducible T-cell costimulator; AILIM,CD278; activation-inducible lymphocyte immunomediatory molecule",Core,,
ICOSLG,ICOSLG | LOC102723996,inducible T cell costimulator ligand | ,"B7-related protein 1,B7 homologue 2,B7 homolog 2; KIAA0653,GL50,B7-H2,B7RP-1,B7H2,B7RP1,ICOS-L,CD275,B7h; inducible T-cell costimulator ligand | ",Core,,
IDO1,IDO1,"indoleamine 2,3-dioxygenase 1","indoleamine-pyrrole 2,3 dioxygenase",Core,,
IER3,IER3,immediate early response 3,"IEX-1,DIF-2,PRG1,IEX-1L",Core,,
IFI27,IFI27,interferon alpha inducible protein 27,"P27,FAM14D,ISG12",Core,,
IFI44L,IFI44L,interferon induced protein 44 like,"GS3686,TLDC5B; chromosome 1 open reading frame 29,interferon-induced protein 44-like",Core,,
IFI6,IFI6,interferon alpha inducible protein 6,"IFI616,FAM14C,6-16,IFI-6-16; interferon, alpha-inducible protein (clone IFI-6-16)",Add-On,,
IFIH1,IFIH1,interferon induced with helicase C domain 1,"helicard,melanoma differentiation-associated gene 5; MDA-5,Hlcd,MDA5,IDDM19",Core,,
IFIT1,IFIT1,interferon induced protein with tetratricopeptide repeats 1,interferon-induced protein with tetratricopeptide repeats 1; GARG-16,Core,,
IFIT3,IFIT3,interferon induced protein with tetratricopeptide repeats 3,"ISG60,RIG-G,CIG-49,IFI60,GARG-49,IRG2; interferon-induced protein with tetratricopeptide repeats 4,interferon-induced protein with tetratricopeptide repeats 3",Core,,
IFITM1,IFITM1,interferon induced transmembrane protein 1,"9-27,CD225,DSPA2a; interferon induced transmembrane protein 1 (9-27); interferon-induced transmembrane protein 1,dispanin subfamily A member 2a",Core,,
IFITM3,IFITM2 | IFITM3,interferon induced transmembrane protein 2 | interferon induced transmembrane protein 3,"1-8D,DSPA2c; dispanin subfamily A member 2c; interferon induced transmembrane protein 2 (1-8D) | interferon induced transmembrane protein 3 (1-8U); 1-8U,DSPA2b; dispanin subfamily A member 2b",Core,,
IFNA1/13,IFNA1 | IFNA13,interferon alpha 1 | interferon alpha 13,"IFNA@,IFL,IFN,IFN-ALPHA,IFNA13,IFN-alphaD; IFN-alpha 1b,interferon alpha 1b | ",Core,,
IFNAR1,IFNAR1,interferon alpha and beta receptor subunit 1,"IFNalpha/beta receptor 1,type I interferon receptor 1,interferon alpha/beta receptor 1; IFRC; interferon (alpha, beta and omega) receptor 1",Core,,
IFNAR2,IFNAR2,interferon alpha and beta receptor subunit 2,"interferon alpha/beta receptor 2,IFNalpha/beta receptor subunit 2,type I interferon receptor 2; interferon (alpha, beta and omega) receptor 2",Core,,
IFNG,IFNG,interferon gamma,,Core,,
IFNGR1,IFNGR1,interferon gamma receptor 1,CD119,Core,,
IFNGR2,IFNGR2,interferon gamma receptor 2,AF-1; interferon gamma receptor 2 (interferon gamma transducer 1),Core,,
IFNL2/3,IFNL2 | IFNL3,interferon lambda 2 | interferon lambda 3,"IL-28A; interleukin 28A,interleukin 28A (interferon, lambda 2) | interleukin 28B,interleukin 28B (interferon, lambda 3); IL-28B,IL28C",Core,,
IGF1,IGF1,insulin like growth factor 1,"insulin-like growth factor 1 (somatomedin C); IGF1A,IGFI,IGF-I,IGF; somatomedin C",Core,,
IGF1R,IGF1R,insulin like growth factor 1 receptor,"JTK13,CD221,IGFIR,MGC18216,IGFR; insulin-like growth factor 1 receptor",Core,,
IGF2,IGF2 | INS-IGF2,insulin like growth factor 2 | INS-IGF2 readthrough,"FLJ44734,IGF-II; chromosome 11 open reading frame 43,insulin-like growth factor 2; somatomedin A,preptin | ",Core,,
