CosMx™ Human Universal Cell Characterization Panel  - Gene and Probe Details,,,,,,
Display Name,Gene Symbol(s),Gene Name(s),Alias(es),Panel Type,,CodeClass
CCL2,CCL2,C-C motif chemokine ligand 2,"monocyte chemotactic protein 1, homologous to mouse Sig-je,monocyte chemoattractant protein-1,monocyte chemotactic and activating factor,monocyte secretory protein JE,small inducible cytokine subfamily A (Cys-Cys), member 2; MCP1,MCP-1,MCAF,SMC-CF,GDCF-2,HC11,MGC9434; small inducible cytokine A2 (monocyte chemotactic protein 1, homologous to mouse Sig-je),chemokine (C-C motif) ligand 2",Core,,
CCL20,CCL20,C-C motif chemokine ligand 20,"small inducible cytokine subfamily A (Cys-Cys), member 20,chemokine (C-C motif) ligand 20; LARC,MIP-3a,exodus-1,ST38,CKb4",Core,,
CCL21,CCL21,C-C motif chemokine ligand 21,"SLC,exodus-2,TCA4,CKb9,6Ckine,ECL; beta chemokine exodus-2,secondary lymphoid tissue chemokine,Efficient Chemoattractant for Lymphocytes; small inducible cytokine subfamily A (Cys-Cys), member 21,chemokine (C-C motif) ligand 21",Core,,
CCL22,CCL22,C-C motif chemokine ligand 22,"small inducible cytokine subfamily A (Cys-Cys), member 22,chemokine (C-C motif) ligand 22; MDC,STCP-1,ABCD-1,DC/B-CK,A-152E5.1,MGC34554",Add-On,,
CCL26,CCL26,C-C motif chemokine ligand 26,"macrophage inflammatory protein 4-alpha,small inducible cytokine A26,CC chemokine IMAC,chemokine N1,thymic stroma chemokine-1,eotaxin-3; small inducible cytokine subfamily A (Cys-Cys), member 26,chemokine (C-C motif) ligand 26; MIP-4alpha,eotaxin-3,IMAC,MIP-4a,TSC-1",Core,,
CCL28,CCL28,C-C motif chemokine ligand 28,"chemokine (C-C motif) ligand 28; SCYA28,MEC,CCK1; CC chemokine CCL28,mucosae-associated epithelial chemokine,small inducible cytokine subfamily A (Cys-Cys), member 28,small inducible cytokine A28",Core,,
CCL3/L1/L3,CCL3 | CCL3L1 | CCL3L3,C-C motif chemokine ligand 3 | C-C motif chemokine ligand 3 like 1 | C-C motif chemokine ligand 3 like 3,"small inducible cytokine A3 (homologous to mouse Mip-1a),chemokine (C-C motif) ligand 3; G0S19-1,LD78ALPHA,MIP-1-alpha | small inducible cytokine A3-like 1,chemokine (C-C motif) ligand 3-like 1; G0S19-2,LD78BETA | chemokine (C-C motif) ligand 3-like 3; MGC12815",Core,,
CCL4/L1/L2,CCL4 | CCL4L1 | CCL4L2,C-C motif chemokine ligand 4 | C-C motif chemokine ligand 4 like 1 | C-C motif chemokine ligand 4 like 2,"small inducible cytokine A4 (homologous to mouse Mip-1b),chemokine (C-C motif) ligand 4; MIP-1-beta,Act-2,AT744.1 | AT744.2,LAG-1; small inducible cytokine A4-like,chemokine (C-C motif) ligand 4-like,chemokine (C-C motif) ligand 4-like 1 | chemokine (C-C motif) ligand 4-like 2",Core,,
CCL5,CCL5,C-C motif chemokine ligand 5,"RANTES,SISd,TCP228,MGC17164; small inducible cytokine A5 (RANTES),chemokine (C-C motif) ligand 5; T-cell specific protein p288,T-cell specific RANTES protein,SIS-delta,regulated upon activation, normally T-expressed, and presumably secreted,beta-chemokine RANTES,small inducible cytokine subfamily A (Cys-Cys), member 5",Core,,
CCL8,CCL8,C-C motif chemokine ligand 8,"small inducible cytokine subfamily A (Cys-Cys), member 8 (monocyte chemotactic protein 2),chemokine (C-C motif) ligand 8; MCP-2,HC14",Core,,
